Date,Clicks,Impressions,CTR,Position
2026-05-05,3,12,25%,2.4
2026-05-06,3,8,37.5%,1
2026-05-07,0,27,0%,1.4
2026-05-08,0,18,0%,2.1
2026-05-09,1,12,8.33%,4.1
2026-05-10,2,11,18.18%,3.3
2026-05-11,0,11,0%,1.7
2026-05-12,1,28,3.57%,2
2026-05-13,7,41,17.07%,2.5
2026-05-14,0,26,0%,7.9
2026-05-15,0,20,0%,5.4
2026-05-16,2,26,7.69%,3.1
2026-05-17,1,34,2.94%,4
2026-05-18,0,24,0%,6.2
2026-05-19,0,12,0%,6.8
2026-05-20,2,17,11.76%,10.6
2026-05-21,1,16,6.25%,4.4
2026-05-22,1,16,6.25%,13.6
2026-05-23,2,12,16.67%,5
2026-05-24,1,26,3.85%,8.5
2026-05-25,2,15,13.33%,9.3
2026-05-26,0,19,0%,14.8
2026-05-27,8,131,6.11%,2.5
2026-05-28,3,27,11.11%,4
2026-05-29,2,31,6.45%,1.7
2026-05-30,1,32,3.12%,3.6
2026-05-31,1,27,3.7%,10.3
2026-06-01,1,35,2.86%,17.1
2026-06-02,1,15,6.67%,10.8
2026-06-03,1,29,3.45%,5.8
2026-06-04,1,41,2.44%,11.5
2026-06-05,2,28,7.14%,8.1
2026-06-06,0,19,0%,18.8
2026-06-07,1,35,2.86%,20.8
2026-06-08,1,41,2.44%,18.9
2026-06-09,7,49,14.29%,7.7
2026-06-10,2,27,7.41%,20.6
2026-06-11,1,21,4.76%,17.1
2026-06-12,1,49,2.04%,12.4
2026-06-13,1,64,1.56%,14.5
2026-06-14,1,26,3.85%,16.5
2026-06-15,1,88,1.14%,14.7
2026-06-16,0,29,0%,30.7
2026-06-17,1,47,2.13%,19.4
2026-06-18,1,40,2.5%,33
2026-06-19,1,69,1.45%,15.5
2026-06-20,0,54,0%,17.1
2026-06-21,1,21,4.76%,17.2
2026-06-22,2,31,6.45%,14.5
2026-06-23,0,42,0%,19.5
2026-06-24,3,29,10.34%,19.7
2026-06-25,3,28,10.71%,16.5
2026-06-26,2,34,5.88%,21.1
2026-06-27,1,19,5.26%,36.1
2026-06-28,1,26,3.85%,24.5
2026-06-29,0,26,0%,22.8
2026-06-30,2,43,4.65%,19.4
2026-07-01,0,22,0%,16.9
2026-07-02,1,76,1.32%,9.8
2026-07-03,1,50,2%,16.6
2026-07-04,1,28,3.57%,17.1
2026-07-05,2,53,3.77%,11
2026-07-06,2,26,7.69%,17.9
2026-07-07,2,25,8%,17
2026-07-08,2,18,11.11%,16.8
2026-07-09,1,35,2.86%,5.3
2026-07-10,1,41,2.44%,6.9
2026-07-11,0,61,0%,7.4
2026-07-12,1,55,1.82%,7.5
2026-07-13,5,56,8.93%,13.7
2026-07-14,1,38,2.63%,18.7
2026-07-15,2,26,7.69%,12.9
2026-07-16,1,127,0.79%,6.2
2026-07-17,0,25,0%,15.5
2026-07-18,1,18,5.56%,14.6
2026-07-19,4,44,9.09%,4.8
2026-07-20,1,35,2.86%,15.8
2026-07-21,0,32,0%,22.2
2026-07-22,3,39,7.69%,11.6
2026-07-23,2,64,3.12%,10.1
2026-07-24,4,39,10.26%,18.3
2026-07-25,0,30,0%,23.7
2026-07-26,1,35,2.86%,18.9
2026-07-27,0,26,0%,25.2
2026-07-28,0,72,0%,9.2
2026-07-29,2,26,7.69%,9
2026-07-30,1,20,5%,24.1
2026-07-31,1,24,4.17%,26
2026-08-01,0,15,0%,14.8
2026-08-02,2,21,9.52%,17.5
2026-08-03,1,17,5.88%,22.6
2026-08-04,0,18,0%,11.7
2026-08-05,0,20,0%,16.1
2026-08-06,0,35,0%,12.8
2026-08-07,0,24,0%,9.1
2026-08-08,0,21,0%,14.7
2026-08-09,1,22,4.55%,18.8
2026-08-10,0,24,0%,14.8
2026-08-11,0,13,0%,5.5
2026-08-12,2,18,11.11%,4.1
2026-08-13,0,27,0%,15
2026-08-14,2,17,11.76%,23.6
2026-08-15,0,20,0%,26.2
2026-08-16,1,29,3.45%,25.4
2026-08-17,0,32,0%,8.8
2026-08-18,2,23,8.7%,27.3
2026-08-19,1,48,2.08%,16.6
2026-08-20,2,43,4.65%,23.7
2026-08-21,2,28,7.14%,20.3
2026-08-22,2,25,8%,13.8
2026-08-23,3,60,5%,14.7
2026-08-24,0,30,0%,13.4
2026-08-25,2,37,5.41%,20.2
2026-08-26,1,27,3.7%,12.2
2026-08-27,1,28,3.57%,21.9
2026-08-28,0,23,0%,26.2
2026-08-29,0,23,0%,36.9
2026-08-30,5,77,6.49%,6.9
2026-08-31,2,56,3.57%,14.8
2026-09-01,1,28,3.57%,6.3
2026-09-02,2,40,5%,8.2
2026-09-03,2,38,5.26%,9.6
2026-09-04,3,29,10.34%,8.9
2026-09-05,3,39,7.69%,8.6
2026-09-06,1,22,4.55%,10.2
2026-09-07,0,34,0%,17.5
2026-09-08,3,47,6.38%,9.5
2026-09-09,2,44,4.55%,10.8
2026-09-10,3,36,8.33%,10.4
2026-09-11,1,23,4.35%,8.4
